Noise,Class Accuracy,Bitwise Accuracy,Bitwise Recall,Bitwise Precision,Bitwise F1,Mean Hamming Distance,Mean Error Distance,Trial,Training,Model
0.006,0.9863247863247864,0.9974358974358974,0.9965177016831108,0.9982558139534884,0.9973860005808889,0.015384615384615385,1.125,0,Base,ML
0.012,0.9839743589743589,0.9970619658119658,0.9951768488745981,0.9989241527703067,0.9970469798657718,0.017628205128205128,1.1,0,Base,ML
0.018000000000000002,0.9825673534072901,0.9968304278922345,0.9952254641909815,0.9984034060670569,0.9968119022316685,0.01901743264659271,1.0909090909090908,0,Base,ML
0.024,0.9819967266775778,0.9967266775777414,0.9950738916256158,0.9983525535420099,0.9967105263157895,0.019639934533551555,1.0909090909090908,0,Base,ML
0.03,0.9790996784565916,0.9957127545551983,0.9951351351351352,0.9962121212121212,0.9956733369388858,0.02572347266881029,1.2307692307692308,0,Base,ML
0.036000000000000004,0.9844559585492227,0.9968336211859528,0.9953216374269006,0.9982404692082112,0.9967789165446561,0.018998272884283247,1.2222222222222223,0,Base,ML
0.042,0.9745222929936306,0.9952229299363057,0.9951768488745981,0.9951768488745981,0.9951768488745981,0.028662420382165606,1.125,0,Base,ML
0.048,0.9793459552495697,0.9948364888123924,0.9912841371295759,0.9982445874780573,0.9947521865889213,0.03098106712564544,1.5,0,Base,ML
0.054,0.9727427597955707,0.9948892674616695,0.9936231884057971,0.9959325973271353,0.9947765525246662,0.030664395229982964,1.125,0,Base,ML
0.06,0.9595070422535211,0.9917840375586855,0.9903672486453944,0.9927579963789982,0.9915611814345991,0.04929577464788732,1.2173913043478262,0,Base,ML
0.066,0.9530988274706867,0.9902289223897264,0.9887450759707372,0.9915349887133182,0.9901380670611439,0.05862646566164154,1.25,0,Base,ML
0.07200000000000001,0.9560439560439561,0.9900575614861329,0.9920297555791711,0.9878306878306878,0.9899257688229055,0.059654631083202514,1.3571428571428572,0,Base,ML
0.078,0.9546925566343042,0.9916396979503775,0.9945235487404163,0.9885683179096353,0.9915369915369915,0.05016181229773463,1.1071428571428572,0,Base,ML
0.084,0.9438775510204082,0.9892290249433107,0.9924374636416521,0.9855574812247256,0.9889855072463768,0.06462585034013606,1.1515151515151516,0,Base,ML
0.09,0.9322916666666666,0.9849537037037037,0.9841735052754983,0.9853286384976526,0.9847507331378299,0.09027777777777778,1.3333333333333333,0,Base,ML
0.0,0.98,0.9958333333333333,0.9977413890457368,0.9938132733408324,0.9957734573119188,0.025,1.25,0,CB,MC
0.006,0.9897435897435898,0.9982905982905983,0.9976784677887406,0.9988378849506101,0.9982578397212544,0.010256410256410256,1.0,0,CB,MC
0.012,0.9935897435897436,0.9989316239316239,0.9994640943193998,0.9983940042826552,0.9989287627209427,0.00641025641025641,1.0,0,CB,MC
0.018000000000000002,0.9889064976228209,0.9978869519281564,0.9973474801061007,0.9984067976633032,0.9978768577494692,0.012678288431061807,1.1428571428571428,0,CB,MC
0.024,0.9787234042553191,0.9959083469721768,0.9945265462506842,0.9972557628979144,0.9958892847355441,0.024549918166939442,1.1538461538461537,0,CB,MC
0.03,0.9839228295819936,0.9962486602357985,0.9967567567567568,0.9956803455723542,0.9962182603997839,0.022508038585209004,1.4,0,CB,MC
0.036000000000000004,0.9689119170984456,0.9936672423719056,0.9953216374269006,0.9918414918414918,0.9935785172212493,0.037996545768566495,1.2222222222222223,0,CB,MC
0.042,0.9808917197452229,0.9960191082802548,0.9962486602357985,0.9957150508837708,0.9959817840878651,0.02388535031847134,1.25,0,CB,MC
0.048,0.9776247848537005,0.993689041881813,0.9965136548518303,0.9907567879838244,0.9936268829663963,0.0378657487091222,1.6923076923076923,0,CB,MC
0.054,0.9403747870528109,0.9863713798977853,0.9936231884057971,0.9788692175899486,0.9861910241657077,0.0817717206132879,1.3714285714285714,0,CB,MC
0.06,0.9066901408450704,0.9750586854460094,0.9909692956050572,0.9592074592074592,0.9748297305300563,0.14964788732394366,1.6037735849056605,0,CB,MC
