Rotation,Class Accuracy,Bitwise Accuracy,Bitwise Recall,Bitwise Precision,Bitwise F1,Mean Hamming Distance,Mean Error Distance,Trial,Training,Model
-25.0,0.2587601078167116,0.7767295597484277,0.685856754306437,0.8340683572216097,0.7527363184079602,1.3396226415094339,1.8072727272727274,0,LB,MC
-21.875,0.3640226628895184,0.8347497639282342,0.767628963558921,0.8858547241944292,0.8225152129817443,0.9915014164305949,1.55902004454343,0,LB,MC
-18.75,0.5096582466567607,0.8868251609707776,0.8497254118821768,0.9160387513455328,0.8816368816368817,0.6790490341753344,1.3848484848484848,0,LB,MC
-15.625,0.7157142857142857,0.9404761904761905,0.9308176100628931,0.947316592811423,0.9389946315275745,0.35714285714285715,1.256281407035176,0,LB,MC
-12.5,0.8396094839609484,0.9658298465829847,0.9613754121526142,0.9691358024691358,0.9652400094585007,0.20502092050209206,1.2782608695652173,0,LB,MC
-9.375,0.9180555555555555,0.9847222222222223,0.9881347887992407,0.9806877060763071,0.9843971631205674,0.09166666666666666,1.11864406779661,0,LB,MC
-6.25,0.9706293706293706,0.9946386946386946,0.9948039678790742,0.9943342776203966,0.9945690672963401,0.032167832167832165,1.0952380952380953,0,LB,MC
-3.125,0.9682539682539683,0.9947089947089947,0.9950870924519875,0.9941990182954038,0.9946428571428572,0.031746031746031744,1.0,0,LB,MC
0.0,0.9753265602322206,0.9946782776971457,0.9941147621383031,0.9950908198330879,0.9946025515210992,0.03193033381712627,1.2941176470588236,0,LB,MC
3.125,0.9650655021834061,0.9936923823386705,0.9935929029078364,0.9935929029078364,0.9935929029078364,0.03784570596797671,1.0833333333333333,0,LB,MC
6.25,0.9662447257383966,0.9936708860759493,0.995164410058027,0.9918072289156626,0.9934829833454019,0.0379746835443038,1.125,0,LB,MC
9.375,0.9398907103825137,0.9872495446265938,0.9889958734525447,0.9853814527181362,0.9871853546910756,0.07650273224043716,1.2727272727272727,0,LB,MC
12.5,0.8878787878787879,0.977020202020202,0.9795081967213115,0.9740193581253184,0.9767560664112389,0.13787878787878788,1.2297297297297298,0,LB,MC
15.625,0.7724637681159421,0.9449275362318841,0.9355769230769231,0.953921568627451,0.9446601941747572,0.33043478260869563,1.4522292993630572,0,LB,MC
18.75,0.6050775740479548,0.9055007052186178,0.8678621991505427,0.9377868434472209,0.9014705882352941,0.5669957686882934,1.4357142857142857,0,LB,MC
21.875,0.43304843304843305,0.842355175688509,0.7605083088954057,0.8994219653179191,0.8241525423728814,0.9458689458689459,1.6683417085427135,0,LB,MC
25.0,0.24611032531824611,0.7675624705327676,0.6546318289786224,0.8417837507635919,0.7365045430251204,1.3946251768033946,1.849906191369606,0,LB,MC
-25.0,0.3706199460916442,0.8373764600179695,0.7651858567543064,0.8912354804646251,0.8234146341463414,0.9757412398921833,1.5503211991434689,0,LB,ML
-21.875,0.5354107648725213,0.8956562795089708,0.8566019876952201,0.9286813750641355,0.8911866075824718,0.6260623229461756,1.3475609756097562,0,LB,ML
-18.75,0.6716196136701337,0.9348687469044081,0.9216175736395407,0.9456967213114754,0.9335018963337548,0.39078751857355126,1.1900452488687783,0,LB,ML
-15.625,0.79,0.9611904761904762,0.9622641509433962,0.9590163934426229,0.9606375271673508,0.23285714285714285,1.1088435374149659,0,LB,ML
-12.5,0.8786610878661087,0.9779172477917247,0.9802166745171926,0.9751640112464854,0.9776838148931172,0.13249651324965134,1.0919540229885059,0,LB,ML
-9.375,0.9375,0.9884259259259259,0.9905078310393926,0.9858290033065659,0.9881628787878788,0.06944444444444445,1.1111111111111112,0,LB,ML
-6.25,0.972027972027972,0.9953379953379954,0.9962210675484175,0.9943422913719944,0.9952807928268051,0.027972027972027972,1.0,0,LB,ML
-3.125,0.9775132275132276,0.9958112874779541,0.9973202322465387,0.9942119323241317,0.995763656633222,0.02513227513227513,1.1176470588235294,0,LB,ML
0.0,0.97677793904209,0.9954039671020803,0.9990191270230505,0.9917234664070107,0.9953579281700464,0.027576197387518143,1.1875,0,LB,ML
3.125,0.9810771470160117,0.9963609898107715,0.9975357318876293,0.9950835791543756,0.9963081466896382,0.021834061135371178,1.1538461538461537,0,LB,ML
6.25,0.9662447257383966,0.9932020628223159,0.9961315280464217,0.9899086977414705,0.9930103639431189,0.040787623066104076,1.2083333333333333,0,LB,ML
9.375,0.9480874316939891,0.9897540983606558,0.9917469050894085,0.9876712328767123,0.9897048730267674,0.06147540983606557,1.1842105263157894,0,LB,ML
12.5,0.8984848484848484,0.9825757575757575,0.9815573770491803,0.9830682401231401,0.98231222763394,0.10454545454545454,1.0298507462686568,0,LB,ML
15.625,0.8014492753623188,0.9586956521739131,0.9519230769230769,0.9653827401267674,0.9586056644880174,0.24782608695652175,1.2481751824817517,0,LB,ML
18.75,0.6488011283497884,0.9285378467324871,0.9056158565361019,0.9485912011863569,0.926605504587156,0.4287729196050776,1.2208835341365463,0,LB,ML
21.875,0.44871794871794873,0.8791547958214625,0.83088954056696,0.9125067096081588,0.8697876694806855,0.7250712250712251,1.3152454780361758,0,LB,ML
25.0,0.26166902404526166,0.8182461103253182,0.7463182897862233,0.8689159292035398,0.802964477383082,1.0905233380480905,1.4770114942528736,0,LB,ML
-25.0,0.4407796101949025,0.8493253373313343,0.7783531848783014,0.8957091775923719,0.8329177057356609,0.904047976011994,1.616621983914209,1,Base,MC
-21.875,0.5284237726098191,0.8837209302325582,0.8204911092294666,0.943524829600779,0.8777173913043478,0.6976744186046512,1.4794520547945205,1,Base,MC
-18.75,0.6784660766961652,0.922566371681416,0.8732179226069247,0.9629421673217293,0.9158878504672898,0.4646017699115044,1.444954128440367,1,Base,MC
-15.625,0.7545582047685835,0.9464703132304816,0.9117924528301887,0.9787341772151898,0.9440781440781442,0.3211781206171108,1.3085714285714285,1,Base,MC
-12.5,0.8310911808669657,0.9653712007972097,0.9458502024291497,0.9831667543398211,0.964147536755223,0.2077727952167414,1.2300884955752212,1,Base,MC
