Brightness,Class Accuracy,Bitwise Accuracy,Bitwise Recall,Bitwise Precision,Bitwise F1,Mean Hamming Distance,Mean Error Distance,Trial,Training,Model
1.0,0.9883527454242929,0.9972268441486412,0.997195737521032,0.997195737521032,0.997195737521032,0.016638935108153077,1.4285714285714286,0,Base,ML
1.05,0.9759229534510433,0.9954521134296416,0.993485342019544,0.997275204359673,0.9953766657601305,0.027287319422150885,1.1333333333333333,0,Base,ML
1.1,0.9833610648918469,0.9966722129783694,0.9955947136563876,0.9977924944812362,0.9966923925027563,0.019966722129783693,1.2,0,Base,ML
1.15,0.9663120567375887,0.9908392434988179,0.9913633559531153,0.9895320197044335,0.9904468412942988,0.0549645390070922,1.631578947368421,0,Base,ML
1.2,0.9348914858096828,0.9860879243183083,0.9897901304594441,0.9819921215531795,0.9858757062146892,0.08347245409015025,1.2820512820512822,0,Base,ML
1.25,0.8933333333333333,0.9741666666666666,0.988268156424581,0.9608908202064096,0.974387221151198,0.155,1.453125,0,Base,ML
1.3,0.7970297029702971,0.9493949394939494,0.9727474972191323,0.928343949044586,0.9500271591526344,0.30363036303630364,1.4959349593495934,0,Base,ML
1.35,0.6940418679549114,0.9176060118089103,0.9640750670241287,0.8822374877330716,0.9213425570074302,0.4943639291465378,1.6157894736842104,0,Base,ML
1.4,0.43829113924050633,0.8462552742616034,0.9420212765957446,0.7888641425389755,0.8586666666666667,0.9224683544303798,1.6422535211267606,0,Base,ML
1.45,0.23992994746059546,0.7553998832457677,0.8970331588132635,0.6999546073536087,0.7863335033146354,1.4676007005253942,1.9308755760368663,0,Base,ML
1.5,0.0878594249201278,0.6498935037273695,0.829950630828305,0.6008737092930898,0.6970744068187054,2.1006389776357826,2.3029772329246936,0,Base,ML
1.55,0.03494176372712146,0.5751525235718248,0.7562884292901062,0.5524703960800327,0.6385087305332704,2.5490848585690515,2.6413793103448278,0,Base,ML
1.6,0.02181208053691275,0.5293624161073825,0.7082392776523702,0.5183808343659645,0.5986167421893632,2.8238255033557045,2.8867924528301887,0,Base,ML
1.65,0.008460236886632826,0.476029328821207,0.6434833430742256,0.46871008939974457,0.5423645320197045,3.143824027072758,3.1706484641638224,0,Base,ML
1.7000000000000002,0.010344827586206896,0.4494252873563218,0.6185383244206774,0.44967602591792655,0.520760380190095,3.303448275862069,3.337979094076655,0,Base,ML
1.75,0.016129032258064516,0.4489247311827957,0.613978494623656,0.46160064672594986,0.5269958467928011,3.306451612903226,3.360655737704918,0,Base,ML
1.0,0.9800332778702163,0.9963948973932335,0.997195737521032,0.9955207166853304,0.9963575231157187,0.021630615640599003,1.0833333333333333,0,CB,MC
1.05,0.9791332263242376,0.9943820224719101,0.994028230184582,0.9945681694731124,0.9942981265272876,0.033707865168539325,1.6153846153846154,0,CB,MC
1.1,0.9550748752079867,0.9905712701053799,0.987885462555066,0.9933554817275747,0.9906129210381005,0.056572379367720464,1.2592592592592593,0,CB,MC
1.15,0.8687943262411347,0.9686761229314421,0.9623689080814312,0.9719626168224299,0.9671419714817111,0.1879432624113475,1.4324324324324325,0,CB,MC
1.2,0.6110183639398998,0.8931552587646077,0.8950652297220647,0.8880135059088351,0.8915254237288135,0.6410684474123539,1.648068669527897,0,CB,MC
1.25,0.29333333333333333,0.7811111111111111,0.7625698324022346,0.7899305555555556,0.7760090960773167,1.3133333333333332,1.8584905660377358,0,CB,MC
1.3,0.16336633663366337,0.7178217821782178,0.6468298109010011,0.7483912483912484,0.6939140811455846,1.693069306930693,2.0236686390532546,0,CB,MC
1.35,0.0853462157809984,0.6977992485238862,0.5533512064343163,0.7788679245283019,0.6470219435736677,1.8132045088566828,1.982394366197183,0,CB,MC
1.4,0.09335443037974683,0.669831223628692,0.43882978723404253,0.8072407045009785,0.5685733976567884,1.981012658227848,2.1849912739965096,0,CB,MC
1.45,0.08231173380035026,0.6453590192644484,0.3449680046538685,0.8695014662756598,0.49396084964598086,2.12784588441331,2.318702290076336,0,CB,MC
